MiniDOT Logger Concatenated Data File
Sensor:             7530-815399
Concatenation Date: 2023Oct12 17:24:20 EDT


            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
                  (Second),                        (none),                        (none),        (Volt),       (deg C), (umol/(s m^2),             (g),             (g),             (g)
                1697030160,           2023-10-11 13:16:00,           2023-10-11 09:16:00,      3.500000,     18.199000,      1.377990,     1199.000000,      128.000000,      348.000000
                1697030460,           2023-10-11 13:21:00,           2023-10-11 09:21:00,      3.500000,     18.511000,      2.224750,     1196.000000,      131.000000,      355.000000
                1697030760,           2023-10-11 13:26:00,           2023-10-11 09:26:00,      3.500000,     18.688000,      1.993070,     1191.000000,      128.000000,      359.000000
                1697031060,           2023-10-11 13:31:00,           2023-10-11 09:31:00,      3.500000,     18.790000,      2.089600,     1192.000000,      128.000000,      360.000000
                1697031360,           2023-10-11 13:36:00,           2023-10-11 09:36:00,      3.500000,     18.857000,      1.469010,     1192.000000,      131.000000,      360.000000
                1697031660,           2023-10-11 13:41:00,           2023-10-11 09:41:00,      3.500000,     18.908000,      3.052210,     1231.000000,      124.000000,      284.000000
                1697031960,           2023-10-11 13:46:00,           2023-10-11 09:46:00,      3.500000,     18.916000,      1.725520,     1192.000000,      128.000000,      360.000000
                1697032260,           2023-10-11 13:51:00,           2023-10-11 09:51:00,      3.500000,     18.916000,      1.835850,     1187.000000,      128.000000,      368.000000
                1697032560,           2023-10-11 13:56:00,           2023-10-11 09:56:00,      3.500000,     18.899000,      2.668820,     1190.000000,      128.000000,      368.000000
                1697032860,           2023-10-11 14:01:00,           2023-10-11 10:01:00,      3.500000,     18.874000,      2.746050,     1191.000000,      128.000000,      364.000000
                1697033160,           2023-10-11 14:06:00,           2023-10-11 10:06:00,      3.500000,     18.840000,      3.223220,     1191.000000,      131.000000,      359.000000
                1697033460,           2023-10-11 14:11:00,           2023-10-11 10:11:00,      3.500000,     18.815000,      2.045470,     1190.000000,      134.000000,      368.000000
                1697033760,           2023-10-11 14:16:00,           2023-10-11 10:16:00,      3.500000,     18.764000,      2.712950,     1191.000000,      131.000000,      364.000000
                1697034060,           2023-10-11 14:21:00,           2023-10-11 10:21:00,      3.500000,     18.722000,      2.754330,     1192.000000,      131.000000,      361.000000
                1697034360,           2023-10-11 14:26:00,           2023-10-11 10:26:00,      3.500000,     18.705000,      2.922580,     1191.000000,      132.000000,      360.000000
                1697034660,           2023-10-11 14:31:00,           2023-10-11 10:31:00,      3.500000,     18.680000,      2.743290,     1191.000000,      131.000000,      360.000000
                1697034960,           2023-10-11 14:36:00,           2023-10-11 10:36:00,      3.500000,     18.672000,      2.583320,     1193.000000,      134.000000,      360.000000
                1697035260,           2023-10-11 14:41:00,           2023-10-11 10:41:00,      3.500000,     18.655000,      2.815010,     1191.000000,      134.000000,      364.000000
                1697035560,           2023-10-11 14:46:00,           2023-10-11 10:46:00,      3.500000,     18.672000,      2.837070,     1192.000000,      135.000000,      360.000000
                1697035860,           2023-10-11 14:51:00,           2023-10-11 10:51:00,      3.490000,     18.663000,      2.735020,     1193.000000,      134.000000,      360.000000
                1697036160,           2023-10-11 14:56:00,           2023-10-11 10:56:00,      3.490000,     18.688000,      2.591590,     1192.000000,      134.000000,      359.000000
                1697036460,           2023-10-11 15:01:00,           2023-10-11 11:01:00,      3.490000,     18.688000,      2.906030,     1191.000000,      136.000000,      364.000000
                1697036760,           2023-10-11 15:06:00,           2023-10-11 11:06:00,      3.490000,     18.697000,      1.430400,     1192.000000,      132.000000,      360.000000
                1697037060,           2023-10-11 15:11:00,           2023-10-11 11:11:00,      3.490000,     18.697000,      2.547460,     1192.000000,      135.000000,      359.000000
                1697037360,           2023-10-11 15:16:00,           2023-10-11 11:16:00,      3.490000,     18.705000,      2.550220,     1192.000000,      134.000000,      359.000000
                1697037660,           2023-10-11 15:21:00,           2023-10-11 11:21:00,      3.490000,     18.705000,      3.090830,     1191.000000,      132.000000,      364.000000
                1697037960,           2023-10-11 15:26:00,           2023-10-11 11:26:00,      3.490000,     18.697000,      2.958430,     1190.000000,      131.000000,      371.000000
                1697038260,           2023-10-11 15:31:00,           2023-10-11 11:31:00,      3.490000,     18.722000,      2.878440,     1191.000000,      131.000000,      366.000000
                1697038560,           2023-10-11 15:36:00,           2023-10-11 11:36:00,      3.490000,     18.739000,      3.223220,     1187.000000,      132.000000,      368.000000
                1697038860,           2023-10-11 15:41:00,           2023-10-11 11:41:00,      3.490000,     18.739000,      3.148750,     1191.000000,      134.000000,      368.000000
                1697039160,           2023-10-11 15:46:00,           2023-10-11 11:46:00,      3.490000,     18.747000,      3.187360,     1187.000000,      132.000000,      371.000000
                1697039460,           2023-10-11 15:51:00,           2023-10-11 11:51:00,      3.490000,     18.764000,      3.112890,     1187.000000,      132.000000,      372.000000
                1697039760,           2023-10-11 15:56:00,           2023-10-11 11:56:00,      3.490000,     18.773000,      3.074280,     1191.000000,      132.000000,      368.000000
                1697040060,           2023-10-11 16:01:00,           2023-10-11 12:01:00,      3.490000,     18.781000,      3.198390,     1187.000000,      131.000000,      368.000000
                1697040360,           2023-10-11 16:06:00,           2023-10-11 12:06:00,      3.490000,     18.790000,      2.897750,     1184.000000,      132.000000,      374.000000
                1697040660,           2023-10-11 16:11:00,           2023-10-11 12:11:00,      3.490000,     18.798000,      2.583320,     1188.000000,      132.000000,      369.000000
                1697040960,           2023-10-11 16:16:00,           2023-10-11 12:16:00,      3.490000,     18.798000,      2.886720,     1190.000000,      132.000000,      368.000000
                1697041260,           2023-10-11 16:21:00,           2023-10-11 12:21:00,      3.490000,     18.806000,      2.486780,     1191.000000,      134.000000,      368.000000
                1697041560,           2023-10-11 16:26:00,           2023-10-11 12:26:00,      3.490000,     18.798000,      2.660550,     1188.000000,      131.000000,      369.000000
                1697041860,           2023-10-11 16:31:00,           2023-10-11 12:31:00,      3.490000,     18.806000,      2.009620,     1191.000000,      134.000000,      368.000000
                1697042160,           2023-10-11 16:36:00,           2023-10-11 12:36:00,      3.490000,     18.798000,      1.689670,     1187.000000,      134.000000,      371.000000
                1697042460,           2023-10-11 16:41:00,           2023-10-11 12:41:00,      3.490000,     18.815000,      1.855160,     1187.000000,      134.000000,      374.000000
                1697042760,           2023-10-11 16:46:00,           2023-10-11 12:46:00,      3.480000,     18.815000,      1.946180,     1190.000000,      134.000000,      368.000000
                1697043060,           2023-10-11 16:51:00,           2023-10-11 12:51:00,      3.480000,     18.865000,      1.957210,     1184.000000,      134.000000,      374.000000
                1697043360,           2023-10-11 16:56:00,           2023-10-11 12:56:00,      3.490000,     18.908000,      2.034440,     1228.000000,      132.000000,      295.000000
