7530-815399
OS REV: 1.05 Sensor Cal: 1620284400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1690995840, +3.48, +28.214, +723.33086, +1159.000, -114.000, +86.000
1690996140, +3.47, +28.255, +712.55738, +1142.000, -119.000, +96.000
1690996440, +3.48, +28.320, +732.41633, +1137.000, -116.000, +92.000
1690996740, +3.48, +28.361, +735.99922, +1235.000, -113.000, -45.000
1690997040, +3.48, +28.402, +750.92377, +1228.000, -104.000, -24.000
1690997340, +3.48, +28.443, +745.74665, +1232.000, -112.000, -36.000
1690997640, +3.48, +28.492, +756.19191, +1233.000, -114.000, -42.000
1690997940, +3.48, +28.542, +758.62739, +1223.000, -104.000, -16.000
1690998240, +3.48, +28.591, +737.36452, +1223.000, -104.000, -20.000
1690998540, +3.48, +28.640, +726.49450, +1222.000, -104.000, -12.000
1690998840, +3.48, +28.689, +760.25196, +1220.000, -104.000,  -7.000
1690999140, +3.48, +28.746, +734.82423, +1204.000, -104.000, +30.000
1690999440, +3.48, +28.779, +720.92296, +1212.000, -100.000, +12.000
1690999740, +3.48, +28.819, +734.63116, +1196.000, -104.000, +48.000
1691000040, +3.48, +28.885, +745.98110, +1184.000, -109.000, +64.000
1691000340, +3.48, +28.934, +708.55249, +1172.000, -112.000, +72.000
1691000640, +3.48, +28.966, +710.19913, +1159.000, -119.000, +88.000
1691000940, +3.48, +29.007, +721.53252, +1144.000, -116.000, +92.000
1691001240, +3.48, +29.048, +701.05298, +1155.000, -114.000, +88.000
1691001540, +3.48, +29.097, +682.39936, +1139.000, -116.000, +96.000
1691001840, +3.48, +29.129, +675.60042, +1137.000, -120.000, +92.000
1691002140, +3.48, +29.137, +654.49477, +1232.000, -114.000, -47.000
1691002440, +3.48, +29.162, +635.04403, +1143.000, -120.000, +96.000
1691002740, +3.48, +29.194, +619.42166, +1235.000, -109.000, -39.000
1691003040, +3.48, +29.219, +580.74635, +1233.000, -116.000, -48.000
1691003340, +3.48, +29.235, +578.45705, +1223.000, -104.000, -10.000
1691003640, +3.48, +29.243, +566.39550, +1216.000, -100.000,  +0.000
1691003940, +3.48, +29.260, +534.61842, +1219.000, -104.000,  +0.000
