7530-815399
OS REV: 1.05 Sensor Cal: 1620284400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1698101580, +3.46, +21.672,  -0.09764, -36.000, -1152.000, +886.000
1698101880, +3.47, +21.663,  -0.05351, -36.000, -1152.000, +888.000
1698102180, +3.46, +21.705,  -0.01214, -36.000, -1152.000, +888.000
1698102480, +3.46, +21.722,  +0.12026, -36.000, -1160.000, +886.000
1698102780, +3.47, +21.722,  +0.08716, -32.000, -1152.000, +881.000
1698103080, +3.46, +21.739,  -0.11143, -40.000, -1152.000, +888.000
1698103380, +3.47, +21.755,  +0.03751, -40.000, -1152.000, +888.000
1698103680, +3.47, +21.755,  -0.03420, -32.000, -1160.000, +872.000
1698103980, +3.47, +21.764,  +0.02648, -32.000, -1160.000, +880.000
1698104280, +3.47, +21.772,  +0.01269, -16.000, -1137.000, +847.000
1698104580, +3.47, +21.772,  +0.01545, -32.000, -1160.000, +880.000
1698104880, +3.47, +21.789,  +0.05406, -39.000, -1152.000, +888.000
1698105180, +3.46, +21.789,  +0.01545, -40.000, -1152.000, +887.000
1698105480, +3.47, +21.806,  +0.11474, -32.000, -1152.000, +887.000
1698105780, +3.47, +21.806,  -0.06454, -32.000, -1160.000, +881.000
1698106080, +3.47, +21.814,  +0.07888, -40.000, -1152.000, +889.000
1698106380, +3.47, +21.822,  -0.04248, -36.000, -1152.000, +888.000
1698106680, +3.47, +21.814,  -0.00110, -40.000, -1152.000, +888.000
1698106980, +3.47, +21.814,  -0.09764, -36.000, -1152.000, +886.000
1698107280, +3.47, +21.814,  +0.00717, -28.000, -1160.000, +870.000
1698107580, +3.47, +21.822,  -0.09488, -32.000, -1160.000, +883.000
1698107880, +3.46, +21.797,  -0.03420, -32.000, -1160.000, +880.000
1698108180, +3.47, +21.822,  +0.04854, -40.000, -1152.000, +888.000
1698108480, +3.47, +21.806,  +0.16990, -32.000, -1160.000, +883.000
1698108780, +3.47, +21.814,  +0.05406, -32.000, -1160.000, +880.000
1698109080, +3.47, +21.822,  -0.02593, -24.000, -1160.000, +871.000
1698109380, +3.47, +21.831,  -0.09764, -36.000, -1152.000, +888.000
1698109680, +3.47, +21.831,  -0.00662, -32.000, -1160.000, +883.000
1698109980, +3.47, +21.814,  +0.01269, -32.000, -1152.000, +880.000
1698110280, +3.47, +21.806,  -0.07282, -32.000, -1152.000, +880.000
1698110580, +3.47, +21.814,  -0.09488, -30.000, -1160.000, +880.000
1698110880, +3.47, +21.814,  +0.06234, -26.000, -1152.000, +870.000
1698111180, +3.47, +21.806,  -0.03144, -32.000, -1160.000, +880.000
1698111480, +3.47, +21.797,  -0.00386, -26.000, -1160.000, +876.000
1698111780, +3.47, +21.814,  -0.02593, -32.000, -1160.000, +880.000
1698112080, +3.47, +21.806,  -0.09488, -40.000, -1160.000, +888.000
1698112380, +3.46, +21.806,  -0.02041, -44.000, -1152.000, +897.000
1698112680, +3.47, +21.806,  +0.00993, -40.000, -1152.000, +888.000
1698112980, +3.47, +21.789,  +0.03199, -40.000, -1152.000, +892.000
1698113280, +3.47, +21.789,  -0.06454, -44.000, -1152.000, +888.000
1698113580, +3.47, +21.781,  +0.10095, -32.000, -1160.000, +880.000
1698113880, +3.47, +21.789,  +0.02924, -40.000, -1160.000, +888.000
1698114180, +3.47, +21.772,  -0.09764, -32.000, -1152.000, +883.000
1698114480, +3.47, +21.772,  -0.05627, -32.000, -1160.000, +878.000
1698114780, +3.47, +21.772,  +0.02372, -36.000, -1160.000, +884.000
1698115080, +3.47, +21.772,  -0.10867, -36.000, -1160.000, +886.000
1698115380, +3.47, +21.755,  -0.03144, -40.000, -1152.000, +896.000
1698115680, +3.47, +21.764,  -0.01489, -32.000, -1160.000, +880.000
1698115980, +3.47, +21.755,  -0.01489, -32.000, -1152.000, +881.000
1698116280, +3.47, +21.747,  -0.03696, -36.000, -1152.000, +884.000
1698116580, +3.47, +21.755,  -0.09212, -32.000, -1160.000, +883.000
1698116880, +3.47, +21.747,  -0.00938, -28.000, -1160.000, +872.000
1698117180, +3.47, +21.747,  -0.01765, -32.000, -1152.000, +883.000
1698117480, +3.47, +21.739,  +0.08440, -36.000, -1160.000, +883.000
1698117780, +3.47, +21.730,  -0.00938, -32.000, -1160.000, +883.000
1698118080, +3.47, +21.730,  +0.04303, -32.000, -1160.000, +883.000
1698118380, +3.47, +21.730,  +0.01269, -32.000, -1160.000, +880.000
1698118680, +3.47, +21.730,  -0.00938, -32.000, -1160.000, +883.000
1698118980, +3.47, +21.713,  -0.08937, -40.000, -1152.000, +892.000
1698119280, +3.47, +21.713,  -0.03696, -36.000, -1160.000, +881.000
1698119580, +3.47, +21.705,  +0.01545, -36.000, -1152.000, +884.000
1698119880, +3.47, +21.705,  +0.07061, -32.000, -1160.000, +886.000
1698120180, +3.47, +21.705,  +0.16163, -32.000, -1160.000, +878.000
1698120480, +3.47, +21.705,  -0.10316, -32.000, -1160.000, +880.000
1698120780, +3.47, +21.688,  -0.05075, -32.000, -1160.000, +886.000
1698121080, +3.47, +21.697,  -0.04248, -32.000, -1160.000, +880.000
1698121380, +3.47, +21.688,  -0.02317, -64.000, -1128.000, +947.000
1698121680, +3.47, +21.680,  -0.03696, -32.000, -1152.000, +884.000
1698121980, +3.47, +21.663,  +0.07337, -32.000, -1160.000, +883.000
1698122280, +3.47, +21.672,  +0.03199, -32.000, -1160.000, +880.000
1698122580, +3.47, +21.672,  +0.02096, -32.000, -1160.000, +884.000
