7530-815399
OS REV: 1.05 Sensor Cal: 1620284400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1697581380, +3.16, +23.721,  +0.85118, -448.000, +1136.000, -500.000
1697581680, +3.52, +22.383,  +0.66914, -452.000, +1116.000, -445.000
1697581980, +3.52, +22.392,  +0.67741, -434.000, +1121.000, -493.000
1697582280, +3.52, +22.350,  +0.53399, -428.000, +1136.000, -541.000
1697582580, +3.52, +22.325,  +0.32988, -440.000, +1126.000, -456.000
1697582880, +3.52, +22.291,  +0.31057, -440.000, +1153.000, -528.000
1697583180, +3.51, +22.258,  +0.46503, -432.000, +1151.000, -544.000
1697583480, +3.51, +22.224,  +0.35194, -436.000, +1147.000, -506.000
1697583780, +3.51, +22.208,  +0.35746, -441.000, +1126.000, -456.000
1697584080, +3.51, +22.174,  +0.18094, -440.000, +1150.000, -524.000
1697584380, +3.51, +22.149,  +0.33540, -436.000, +1151.000, -528.000
1697584680, +3.51, +22.124,  +0.26644, -440.000, +1145.000, -512.000
1697584980, +3.51, +22.099,  +0.26920, -429.000, +1155.000, -552.000
1697585280, +3.51, +22.074,  +0.24713, -432.000, +1151.000, -520.000
1697585580, +3.51, +22.049,  +0.44021, -440.000, +1120.000, -442.000
1697585880, +3.51, +22.040,  +0.09819, -336.000, +1201.000, -472.000
1697586180, +3.51, +22.015,  -0.00386, -349.000, +1209.000, -492.000
1697586480, +3.51, +22.007,  +0.07061, -354.000, +1191.000, -434.000
1697586780, +3.51, +21.990,  +0.10922, -349.000, +1209.000, -488.000
1697587080, +3.51, +21.965,  +0.02924, -352.000, +1200.000, -456.000
1697587380, +3.51, +21.973,  +0.09268, -352.000, +1208.000, -480.000
1697587680, +3.51, +21.965,  -0.13350, -345.000, +1208.000, -496.000
1697587980, +3.51, +21.956,  +0.04303, -333.000, +1199.000, -528.000
1697588280, +3.51, +21.956,  -0.13074, -354.000, +1200.000, -448.000
1697588580, +3.51, +21.948,  +0.01269, -340.000, +1207.000, -512.000
1697588880, +3.51, +21.956,  +0.02096, -336.000, +1201.000, -520.000
1697589180, +3.50, +21.956,  -0.02317, -340.000, +1206.000, -512.000
1697589480, +3.50, +21.940,  -0.04799, -344.000, +1208.000, -506.000
1697589780, +3.50, +21.940,  +0.12577, -336.000, +1200.000, -528.000
1697590080, +3.50, +21.940,  +0.02096, -336.000, +1199.000, -528.000
1697590380, +3.50, +21.940,  -0.03696, -333.000, +1196.000, -528.000
1697590680, +3.50, +21.915,  -0.02317, -333.000, +1193.000, -528.000
1697590980, +3.50, +21.931,  -0.13074, -333.000, +1196.000, -532.000
1697591280, +3.50, +21.923,  -0.16384, -336.000, +1200.000, -528.000
1697591580, +3.50, +21.906,  -0.01489, -336.000, +1200.000, -528.000
1697591880, +3.50, +21.915,  -0.05351, -320.000, +1187.000, -544.000
1697592180, +3.50, +21.898,  +0.01269, -333.000, +1196.000, -532.000
1697592480, +3.50, +21.906,  -0.07557, -336.000, +1198.000, -528.000
1697592780, +3.50, +21.898,  +0.16715, -332.000, +1196.000, -528.000
1697593080, +3.50, +21.898,  +0.04579, -332.000, +1191.000, -536.000
1697593380, +3.50, +21.889,  -0.19969, -320.000, +1187.000, -542.000
1697593680, +3.50, +21.889,  +0.22507, -333.000, +1196.000, -532.000
1697593980, +3.50, +21.881,  -0.12522, -320.000, +1184.000, -548.000
1697594280, +3.50, +21.881,  +0.00165, -320.000, +1187.000, -548.000
1697594580, +3.50, +21.864,  -0.06730, -344.000, +1206.000, -512.000
1697594880, +3.50, +21.873,  -0.14729, -336.000, +1199.000, -528.000
1697595180, +3.50, +21.848,  -0.03144, -336.000, +1203.000, -520.000
1697595480, +3.50, +21.856,  -0.03420, -340.000, +1203.000, -512.000
1697595780, +3.50, +21.856,  +0.07061, -340.000, +1203.000, -512.000
1697596080, +3.50, +21.848,  +0.17818, -328.000, +1198.000, -532.000
1697596380, +3.50, +21.848,  -0.10867, -344.000, +1207.000, -509.000
1697596680, +3.50, +21.839,  -0.08661, -344.000, +1201.000, -512.000
1697596980, +3.49, +21.839,  +0.07061, -344.000, +1208.000, -512.000
1697597280, +3.50, +21.822,  -0.16935, -336.000, +1201.000, -527.000
1697597580, +3.49, +21.814,  +0.04854, -344.000, +1208.000, -512.000
1697597880, +3.49, +21.822,  -0.02593, -332.000, +1198.000, -528.000
1697598180, +3.49, +21.822,  +0.10095, -332.000, +1193.000, -536.000
1697598480, +3.49, +21.814,  +0.06785, -328.000, +1196.000, -532.000
1697598780, +3.49, +21.797,  -0.08385, -336.000, +1203.000, -512.000
1697599080, +3.49, +21.806,  -0.04248, -320.000, +1183.000, -544.000
1697599380, +3.49, +21.806,  +0.17542, -320.000, +1188.000, -544.000
1697599680, +3.49, +21.797,  +0.06785, -320.000, +1187.000, -544.000
1697599980, +3.49, +21.789,  +0.07613, -328.000, +1184.000, -544.000
1697600280, +3.49, +21.781,  -0.05351, -318.000, +1177.000, -572.000
1697600580, +3.49, +21.781,  -0.00938, -328.000, +1193.000, -536.000
1697600880, +3.49, +21.789,  -0.03972, -356.000, +1144.000, -378.000
1697601180, +3.49, +21.772,  +0.03475, -320.000, +1183.000, -548.000
1697601480, +3.49, +21.772,  -0.05075, -354.000, +1136.000, -376.000
1697601780, +3.49, +21.755,  +0.00441, -354.000, +1160.000, -392.000
1697602080, +3.49, +21.755,  -0.00938, -320.000, +1187.000, -544.000
1697602380, +3.49, +21.747,  +0.02372, -328.000, +1187.000, -544.000
1697602680, +3.49, +21.747,  -0.22176, -354.000, +1145.000, -378.000
1697602980, +3.49, +21.747,  -0.02869, -328.000, +1188.000, -544.000
1697603280, +3.49, +21.739,  +0.04303, -320.000, +1187.000, -544.000
1697603580, +3.49, +21.739,  +0.06234, -356.000, +1140.000, -376.000
1697603880, +3.49, +21.722,  +0.13681, -356.000, +1132.000, -372.000
1697604180, +3.49, +21.730,  -0.02317, -356.000, +1137.000, -377.000
1697604480, +3.49, +21.730,  +0.08164, -320.000, +1183.000, -554.000
1697604780, +3.49, +21.713,  +0.05958, -320.000, +1183.000, -552.000
